id	name	type	store_area	value	market_value	sprite_path	amount	carry_max	max_amount			
0	Leather Boots	Clothing	Apparel	30	36	BootsLeather	5	5	10			
1	Fur Coat	Clothing	Apparel	80	96		3	3	7			
2	Wooden Shield	Weapon	Armory	50	60	ShieldWood	4	4	7			
3	Loaf of Bread	Food	Bakery	5	6	Bread	20	20	50			
4	Wheat Flour	Food	Bakery	5	6	Flour	50	50	100			
5	Dried Fish	Meat	Bakery	9	11		30	30	60			
6	Salted Lamb Meat	Meat	Bakery	15	18	MeatLamb	10	10	20			
7	Bottle of Mead	Drink	Beverages	10	12	Mead	60	15	30			
8	Spool of Wool	Material	Crafts	7	8	WoolWhite	40	40	80			
9	Candle Blue	Tool	Crafts	5	6	CandleBlue	60	60	100			
10	Clay Mug	Tool	Crafts	4	5	MugClay	40	40	60			
11	Silver Ring	Craft	Crafts	30	36	RingSilber	8	8	15			
12	Flint	Tool	Crafts	12	14		20	20	40			
13	Magic Scroll	Craft	Crafts	50	60	ScrollEmpty	5	5	10			
14	Goat Cheese	Food	Dairy	8	10	Cheese	10	10	20			
15	Herbal Potion	Medicine	Pharmacy	25	30	PotionWideGreen	8	8	15			
16	Blueberry Herbs	Medicine	Pharmacy	8	10	HerbBlue	30	30	50			
17	Fresh Apple	Food	Produce	3	4	Apple	50	50	100			
18	Honeycomb	Food	Produce	12	14	Honeycomb	25	25	40			
19	Iron Sword	Weapon	Weapons	120	144	SwordIron	2	2	5			
